Country,Death_cases,BMI,GDP
Algeria,58,26.2,180689
Argentina,28,27.7,518475
Australia,20,27.2,1432195
Austria,146,25.4,455737
Belgium,828,25.5,531767
Cambodia,0,21.9,24572
Canada,109,27.2,1712510
Colombia,17,25.9,330228
Czech Republic,39,26.9,245226
Egypt,52,29.2,250895
Finland,17,25.9,273961
France,4043,25.3,2777535
Germany,920,26.3,3996759
India,58,21.9,2726323
Indonesia,157,22.9,1042173
Iran,3036,26.2,454013
Ireland,85,27.5,382487
Israel,26,26.3,369690
Italy,13155,26,2073902
Japan,57,22.6,4970916
Lebanon,14,27.8,56639
Lithuania,8,26.6,53251
Luxembourg,29,26.5,69488
Malaysia,45,25.3,354348
Maldives,0,25.1,5272
Mexico,29,28.1,1223809
Morocco,39,25.6,118495
Netherlands,1175,25.4,913658
New Zealand,1,27.9,205025
Norway,44,26,434751
Panama,30,27.1,65055
Peru,38,26.3,222238
Philippines,96,23.2,330910
Poland,43,26.4,585783
Portugal,187,26.2,237979
Qatar,2,29.2,192009
Romania,92,25.3,239553
Russia,24,26.5,1657554
Saudi Arabia,16,28.5,782483
Serbia,28,25.8,50508
South Africa,5,27.3,368288
South Korea,165,23.9,1619424
Spain,9387,26.7,1426189
Sri Lanka,3,23,88901
Sweden,239,25.8,551032
Switzerland,488,25.3,705501
Taiwan,59,0,574905
Thailand,12,24.1,504993
Turkey,277,27.8,766509
Ukraine,20,26,130832
United Kingdom,2357,27.3,2825208
Vietnam,113,21.6,244948
